,train_loss,train_acc,test_loss,test_acc
0,2.3428570530631325,0.118197601010101,2.2686424595969066,0.09897648083623693
1,1.9824782068079168,0.25175189393939396,1.842381375176566,0.3345219947735192
2,1.8262719457799739,0.3299084595959596,1.8842567035130091,0.30920622822299654
3,1.7314512198621577,0.3671243686868687,1.6898894991193498,0.38675958188153314
4,1.666596951267936,0.39648042929292926,1.6624824745314462,0.40935322299651566
5,1.62785540710796,0.4082859848484849,1.5877406682286943,0.4498856707317073
6,1.5844270673665133,0.42722537878787875,1.5892340881483895,0.4383710801393728
7,1.5630443562160838,0.4317234848484849,1.515607740197863,0.44939568815331016
8,1.5505529620430687,0.44337121212121217,1.482341238430568,0.4662728658536585
9,1.5072335860945962,0.4519097222222222,1.5386718596730913,0.45407774390243905
